Model,Method,Epoch,train_Acc,train_IOU,train_Dice,train_Loss,valid_Acc,valid_IOU,valid_Dice,valid_Loss,note
UNet,BCE,1,0.6641387939453125,0.28413568775319786,0.4425321879346551,"tensor(0.6819, device='cuda:0', grad_fn=<MulBackward0>)",0.6488337707519531,0.24487665853599316,0.3934151337112777,"tensor(0.6912, device='cuda:0')",
UNet,BCE,1,0.6531041107177734,0.2566362638804587,0.408449558964617,0.6986343264579773,0.6629354400634766,0.2702059551695541,0.42545219390580724,0.6714152097702026,
